"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","118.49","118.17","118.71","118.17","-0.32%"
"Mar 06, 2020","118.86","119.34","119.45","118.69","-0.39%"
"Mar 05, 2020","119.33","119.74","120.02","118.99","-0.35%"
"Mar 04, 2020","119.75","119.69","120.16","119.04","0.04%"
"Mar 03, 2020","119.70","120.61","120.99","119.51","-0.75%"
"Mar 02, 2020","120.60","118.93","120.78","118.07","1.19%"
"Feb 28, 2020","119.18","120.56","120.69","118.36","-1.14%"
"Feb 27, 2020","120.56","120.19","121.06","119.95","0.33%"
"Feb 26, 2020","120.16","119.89","120.59","119.73","0.20%"
"Feb 25, 2020","119.92","120.17","120.55","119.41","-0.22%"
"Feb 24, 2020","120.18","120.97","121.18","119.90","-0.69%"
"Feb 21, 2020","121.02","120.92","121.38","120.34","0.08%"
"Feb 20, 2020","120.92","120.34","121.41","120.08","0.48%"
"Feb 19, 2020","120.34","118.59","120.52","118.56","1.48%"
"Feb 18, 2020","118.58","119.05","119.11","118.45","-0.40%"
"Feb 17, 2020","119.06","118.91","119.22","118.80","0.14%"
"Feb 14, 2020","118.89","119.06","119.27","118.88","-0.14%"
"Feb 13, 2020","119.06","119.70","119.73","118.86","-0.53%"
"Feb 12, 2020","119.69","119.83","120.33","119.59","-0.13%"
"Feb 11, 2020","119.84","119.80","120.05","119.59","0.05%"
"Feb 10, 2020","119.78","120.19","120.34","119.66","-0.27%"
"Feb 07, 2020","120.11","120.81","120.83","120.08","-0.55%"
"Feb 06, 2020","120.78","120.77","121.01","120.54","0.00%"
"Feb 05, 2020","120.78","120.95","121.17","120.64","-0.15%"
"Feb 04, 2020","120.96","120.20","121.01","120.06","0.63%"
"Feb 03, 2020","120.20","120.28","120.42","119.89","-0.04%"
"Jan 31, 2020","120.25","120.20","120.42","120.02","0.03%"
"Jan 30, 2020","120.21","120.02","120.28","119.78","0.15%"
"Jan 29, 2020","120.03","120.31","120.45","119.89","-0.22%"
"Jan 28, 2020","120.30","120.00","120.36","119.81","0.25%"
"Jan 27, 2020","120.00","120.42","120.50","119.89","-0.39%"
"Jan 24, 2020","120.47","121.03","121.28","120.39","-0.46%"
"Jan 23, 2020","121.03","121.84","121.90","120.62","-0.66%"
"Jan 22, 2020","121.84","121.78","122.03","121.61","0.05%"
"Jan 21, 2020","121.78","122.27","122.39","121.72","-0.38%"
"Jan 20, 2020","122.25","122.17","122.33","122.01","0.07%"
"Jan 17, 2020","122.16","122.68","122.86","122.12","-0.42%"
"Jan 16, 2020","122.68","122.55","122.90","122.50","0.11%"
"Jan 15, 2020","122.55","122.42","122.73","122.19","0.11%"
"Jan 14, 2020","122.42","122.42","122.77","122.16","0.00%"
"Jan 13, 2020","122.42","121.75","122.51","121.72","0.54%"
"Jan 10, 2020","121.76","121.64","121.86","121.52","0.11%"
"Jan 09, 2020","121.63","121.18","121.68","121.11","0.35%"
"Jan 08, 2020","121.20","120.92","121.42","120.17","0.23%"
"Jan 07, 2020","120.92","121.33","121.47","120.78","-0.36%"
"Jan 06, 2020","121.36","120.69","121.42","120.26","0.58%"
"Jan 03, 2020","120.66","121.31","121.39","120.14","-0.53%"
"Jan 02, 2020","121.30","121.88","122.04","120.97","-0.48%"
"Jan 01, 2020","121.88","121.78","121.99","121.71","0.07%"
"Dec 31, 2019","121.79","121.92","122.10","121.68","-0.11%"
"Dec 30, 2019","121.93","122.34","122.47","121.84","-0.30%"
"Dec 27, 2019","122.30","121.63","122.46","121.49","0.51%"
"Dec 26, 2019","121.68","121.30","121.81","121.24","0.33%"
"Dec 25, 2019","121.28","121.31","121.92","121.06","-0.02%"
"Dec 24, 2019","121.30","121.28","121.39","121.08","0.00%"
"Dec 23, 2019","121.30","121.27","121.39","121.09","0.04%"
"Dec 20, 2019","121.25","121.61","121.70","121.17","-0.32%"
"Dec 19, 2019","121.64","121.72","122.06","121.41","-0.07%"
"Dec 18, 2019","121.72","122.06","122.19","121.70","-0.29%"
"Dec 17, 2019","122.07","122.00","122.48","121.90","0.03%"
"Dec 16, 2019","122.03","121.71","122.26","121.60","0.32%"
"Dec 13, 2019","121.64","121.66","122.67","121.47","-0.02%"
"Dec 12, 2019","121.67","120.83","121.77","120.77","0.70%"
"Dec 11, 2019","120.82","120.59","120.95","120.37","0.19%"
"Dec 10, 2019","120.59","120.11","120.70","120.08","0.40%"
"Dec 09, 2019","120.11","120.05","120.29","119.98","0.00%"
"Dec 06, 2019","120.11","120.77","120.81","120.00","-0.55%"
"Dec 05, 2019","120.78","120.58","120.89","120.53","0.15%"
"Dec 04, 2019","120.60","120.41","120.84","120.10","0.17%"
