"Date","Price","Open","High","Low","Change %"
"May 15, 2019","8.7928","8.8004","8.8123","8.7737","-0.09%"
"May 14, 2019","8.8011","8.8116","8.8293","8.7930","-0.10%"
"May 13, 2019","8.8102","8.8218","8.8427","8.8077","-0.09%"
"May 10, 2019","8.8179","8.8074","8.8333","8.8011","0.17%"
"May 09, 2019","8.8027","8.7856","8.8322","8.7689","0.21%"
"May 08, 2019","8.7844","8.7820","8.8021","8.7765","0.01%"
"May 07, 2019","8.7832","8.7859","8.8061","8.7624","-0.04%"
"May 06, 2019","8.7866","8.7889","8.7952","8.7553","-0.02%"
"May 03, 2019","8.7881","8.7667","8.7928","8.7353","0.24%"
"May 02, 2019","8.7673","8.7889","8.8036","8.7618","-0.19%"
"May 01, 2019","8.7836","8.7994","8.8397","8.7779","-0.16%"
"Apr 30, 2019","8.7978","8.7736","8.8105","8.7668","0.28%"
"Apr 29, 2019","8.7736","8.7483","8.7782","8.7387","0.33%"
"Apr 26, 2019","8.7446","8.7301","8.7662","8.7166","0.15%"
"Apr 25, 2019","8.7319","8.7526","8.7562","8.7207","-0.18%"
"Apr 24, 2019","8.7475","8.8050","8.8089","8.7371","-0.66%"
"Apr 23, 2019","8.8055","8.8310","8.8368","8.7797","-0.31%"
"Apr 22, 2019","8.8327","8.8218","8.8378","8.8153","0.11%"
"Apr 19, 2019","8.8233","8.8194","8.8290","8.8103","0.13%"
"Apr 18, 2019","8.8117","8.8629","8.8704","8.8079","-0.57%"
"Apr 17, 2019","8.8625","8.8486","8.8853","8.8461","0.17%"
"Apr 16, 2019","8.8475","8.8621","8.8724","8.8450","-0.21%"
"Apr 15, 2019","8.8665","8.8628","8.8788","8.8570","0.02%"
"Apr 12, 2019","8.8644","8.8265","8.8843","8.8249","0.45%"
"Apr 11, 2019","8.8249","8.8346","8.8566","8.8237","-0.11%"
"Apr 10, 2019","8.8346","8.8300","8.8462","8.8003","0.03%"
"Apr 09, 2019","8.8316","8.8432","8.8501","8.8262","-0.06%"
"Apr 08, 2019","8.8366","8.8054","8.8483","8.8013","0.37%"
"Apr 05, 2019","8.8039","8.8092","8.8277","8.7997","-0.04%"
"Apr 04, 2019","8.8074","8.8186","8.8299","8.7949","-0.13%"
"Apr 03, 2019","8.8185","8.7936","8.8353","8.7911","0.26%"
"Apr 02, 2019","8.7957","8.8051","8.8076","8.7787","-0.07%"
"Apr 01, 2019","8.8019","8.8049","8.8310","8.7934","-0.05%"
"Mar 29, 2019","8.8061","8.8087","8.8300","8.7986","-0.10%"
"Mar 28, 2019","8.8150","8.8294","8.8427","8.8033","-0.12%"
"Mar 27, 2019","8.8252","8.8446","8.8605","8.8239","-0.20%"
"Mar 26, 2019","8.8430","8.8773","8.8926","8.8407","-0.39%"
"Mar 25, 2019","8.8773","8.8839","8.8938","8.8552","-0.01%"
"Mar 22, 2019","8.8785","8.9255","8.9403","8.8454","-0.53%"
"Mar 21, 2019","8.9255","8.9590","8.9779","8.9011","-0.38%"
"Mar 20, 2019","8.9595","8.9107","8.9886","8.8981","0.55%"
"Mar 19, 2019","8.9107","8.8999","8.9213","8.8966","0.13%"
"Mar 18, 2019","8.8991","8.8883","8.9173","8.8828","0.10%"
"Mar 15, 2019","8.8905","8.8740","8.9061","8.8661","0.19%"
"Mar 14, 2019","8.8735","8.8917","8.9037","8.8658","-0.20%"
"Mar 13, 2019","8.8912","8.8607","8.9023","8.8519","0.34%"
"Mar 12, 2019","8.8611","8.8302","8.8775","8.8259","0.34%"
"Mar 11, 2019","8.8307","8.8234","8.8392","8.8095","0.08%"
"Mar 08, 2019","8.8236","8.7877","8.8301","8.7805","0.41%"
"Mar 07, 2019","8.7872","8.8759","8.8885","8.7731","-1.00%"
"Mar 06, 2019","8.8759","8.8765","8.8924","8.8591","-0.01%"
"Mar 05, 2019","8.8765","8.8999","8.9111","8.8624","-0.27%"
"Mar 04, 2019","8.9004","8.9299","8.9456","8.8773","-0.32%"
"Mar 01, 2019","8.9291","8.9352","8.9553","8.9106","0.03%"
"Feb 28, 2019","8.9261","8.9258","8.9651","8.9150","0.02%"
"Feb 27, 2019","8.9246","8.9397","8.9522","8.9166","-0.24%"
"Feb 26, 2019","8.9459","8.9209","8.9512","8.9039","0.34%"
"Feb 25, 2019","8.9154","8.8986","8.9238","8.8865","0.14%"
"Feb 22, 2019","8.9025","8.8961","8.9156","8.8804","0.08%"
"Feb 21, 2019","8.8956","8.8986","8.9207","8.8834","-0.03%"
"Feb 20, 2019","8.8986","8.9020","8.9277","8.8884","-0.03%"
"Feb 19, 2019","8.9012","8.8758","8.9144","8.8486","0.28%"
"Feb 18, 2019","8.8763","8.8592","8.8968","8.8560","0.15%"
"Feb 15, 2019","8.8634","8.8635","8.8765","8.8149","-0.00%"
"Feb 14, 2019","8.8638","8.8424","8.8773","8.8269","0.29%"
"Feb 13, 2019","8.8382","8.8885","8.9039","8.8361","-0.57%"
"Feb 12, 2019","8.8889","8.8517","8.9022","8.8335","0.45%"
"Feb 11, 2019","8.8491","8.8897","8.8916","8.8404","-0.48%"
"Feb 08, 2019","8.8915","8.8996","8.9101","8.8832","-0.14%"
"Feb 07, 2019","8.9044","8.9146","8.9267","8.8843","-0.12%"
"Feb 06, 2019","8.9151","8.9485","8.9593","8.9124","-0.45%"
"Feb 05, 2019","8.9552","8.9760","8.9884","8.9437","-0.23%"
"Feb 04, 2019","8.9761","8.9906","8.9983","8.9623","-0.15%"
"Feb 01, 2019","8.9893","8.9814","9.0159","8.9695","0.08%"
"Jan 31, 2019","8.9822","9.0026","9.0357","8.9712","-0.23%"
"Jan 30, 2019","9.0025","8.9703","9.0226","8.9472","0.37%"
"Jan 29, 2019","8.9697","8.9680","8.9861","8.9527","0.05%"
"Jan 28, 2019","8.9656","8.9481","8.9814","8.9366","0.18%"
"Jan 25, 2019","8.9496","8.8704","8.9605","8.8637","0.89%"
"Jan 24, 2019","8.8704","8.9279","8.9428","8.8555","-0.65%"
"Jan 23, 2019","8.9288","8.9107","8.9424","8.9035","0.20%"
"Jan 22, 2019","8.9114","8.9157","8.9327","8.8933","-0.07%"
"Jan 21, 2019","8.9174","8.9178","8.9491","8.9084","0.06%"
"Jan 18, 2019","8.9124","8.9386","8.9526","8.9040","-0.27%"
"Jan 17, 2019","8.9367","8.9366","8.9498","8.9169","-0.04%"
"Jan 16, 2019","8.9406","8.9535","8.9671","8.9241","-0.12%"
"Jan 15, 2019","8.9515","8.9969","9.0130","8.9259","-0.54%"
"Jan 14, 2019","9.0001","8.9930","9.0074","8.9679","0.10%"
"Jan 11, 2019","8.9909","9.0134","9.0500","8.9819","-0.26%"
"Jan 10, 2019","9.0144","9.0470","9.0716","9.0023","-0.35%"
"Jan 09, 2019","9.0461","8.9700","9.0569","8.9632","0.86%"
"Jan 08, 2019","8.9692","8.9909","9.0005","8.9522","-0.24%"
"Jan 07, 2019","8.9904","8.9273","8.9999","8.9241","0.70%"
"Jan 04, 2019","8.9275","8.9213","8.9472","8.8878","0.06%"
"Jan 03, 2019","8.9221","8.8869","8.9390","8.8603","0.41%"
"Jan 02, 2019","8.8857","8.9787","9.0098","8.8733","-1.03%"
"Jan 01, 2019","8.9784","8.9797","9.0436","8.9466","-0.05%"
"Dec 31, 2018","8.9832","8.9606","8.9835","8.9459","0.25%"
"Dec 28, 2018","8.9606","8.9489","8.9887","8.9436","0.12%"
"Dec 27, 2018","8.9498","8.8880","8.9703","8.8850","0.70%"
"Dec 26, 2018","8.8878","8.9002","8.9454","8.8786","-0.14%"
"Dec 25, 2018","8.8999","8.9291","8.9541","8.8983","-0.33%"
"Dec 24, 2018","8.9290","8.9056","8.9609","8.8900","0.24%"
"Dec 21, 2018","8.9077","8.9620","8.9832","8.8932","-0.61%"
"Dec 20, 2018","8.9625","8.9041","8.9940","8.8992","0.65%"
"Dec 19, 2018","8.9045","8.8849","8.9527","8.8825","0.24%"
"Dec 18, 2018","8.8836","8.8643","8.9178","8.8605","0.21%"
"Dec 17, 2018","8.8653","8.8352","8.8750","8.8277","0.33%"
"Dec 14, 2018","8.8364","8.8762","8.8854","8.8039","-0.47%"
"Dec 13, 2018","8.8777","8.8846","8.8999","8.8488","-0.06%"
"Dec 12, 2018","8.8826","8.8461","8.8985","8.8423","0.41%"
"Dec 11, 2018","8.8466","8.8752","8.9109","8.8344","-0.33%"
"Dec 10, 2018","8.8758","8.8939","8.9434","8.8695","-0.19%"
"Dec 07, 2018","8.8931","8.8860","8.9269","8.8744","0.09%"
"Dec 06, 2018","8.8849","8.8642","8.9162","8.8439","0.24%"
"Dec 05, 2018","8.8634","8.8512","8.8748","8.8312","0.11%"
"Dec 04, 2018","8.8536","8.8732","8.9146","8.8323","-0.22%"
"Dec 03, 2018","8.8735","8.8523","8.9017","8.8514","0.22%"
"Nov 30, 2018","8.8539","8.9128","8.9181","8.8446","-0.65%"
"Nov 29, 2018","8.9114","8.8959","8.9206","8.8780","0.19%"
"Nov 28, 2018","8.8948","8.8366","8.9100","8.8177","0.68%"
"Nov 27, 2018","8.8350","8.8613","8.8757","8.8275","-0.31%"
"Nov 26, 2018","8.8624","8.8778","8.9043","8.8593","-0.15%"
"Nov 23, 2018","8.8755","8.9336","8.9397","8.8612","-0.64%"
"Nov 22, 2018","8.9330","8.9174","8.9544","8.9124","0.17%"
"Nov 21, 2018","8.9182","8.9038","8.9495","8.8972","0.16%"
"Nov 20, 2018","8.9038","8.9701","8.9857","8.8931","-0.74%"
"Nov 19, 2018","8.9701","8.9414","8.9817","8.9236","0.33%"
"Nov 16, 2018","8.9410","8.8706","8.9447","8.8651","0.81%"
"Nov 15, 2018","8.8692","8.8566","8.8973","8.8262","0.13%"
"Nov 14, 2018","8.8573","8.8408","8.8893","8.8214","0.18%"
"Nov 13, 2018","8.8416","8.7891","8.8441","8.7832","0.61%"
"Nov 12, 2018","8.7883","8.8742","8.8773","8.7856","-1.02%"
"Nov 09, 2018","8.8788","8.8935","8.9025","8.8618","-0.17%"
"Nov 08, 2018","8.8937","8.9458","8.9603","8.8837","-0.59%"
"Nov 07, 2018","8.9469","8.9499","9.0056","8.9265","-0.03%"
"Nov 06, 2018","8.9493","8.9343","8.9606","8.9205","0.18%"
"Nov 05, 2018","8.9334","8.9055","8.9464","8.8925","0.36%"
"Nov 02, 2018","8.9015","8.9367","8.9692","8.8950","-0.41%"
"Nov 01, 2018","8.9377","8.8702","8.9548","8.8654","0.77%"
"Oct 31, 2018","8.8696","8.8981","8.9149","8.8605","-0.32%"
"Oct 30, 2018","8.8981","8.9187","8.9327","8.8923","-0.24%"
"Oct 29, 2018","8.9195","8.9435","8.9543","8.9096","-0.26%"
"Oct 26, 2018","8.9430","8.9190","8.9526","8.8862","0.27%"
"Oct 25, 2018","8.9193","8.9320","8.9642","8.9031","-0.15%"
"Oct 24, 2018","8.9323","8.9909","8.9977","8.9222","-0.67%"
"Oct 23, 2018","8.9924","8.9887","9.0120","8.9657","0.05%"
"Oct 22, 2018","8.9879","9.0229","9.0569","8.9802","-0.45%"
"Oct 19, 2018","9.0289","8.9763","9.0447","8.9642","0.57%"
"Oct 18, 2018","8.9773","9.0152","9.0375","8.9732","-0.43%"
"Oct 17, 2018","9.0160","9.0704","9.0784","9.0109","-0.60%"
"Oct 16, 2018","9.0701","9.0724","9.1097","9.0624","-0.02%"
"Oct 15, 2018","9.0719","9.0571","9.0982","9.0397","0.14%"
"Oct 12, 2018","9.0594","9.0816","9.0980","9.0371","-0.26%"
"Oct 11, 2018","9.0832","9.0276","9.0914","9.0254","0.61%"
"Oct 10, 2018","9.0284","9.0013","9.0500","8.9958","0.31%"
"Oct 09, 2018","9.0008","8.9961","9.0120","8.9551","0.05%"
"Oct 08, 2018","8.9965","9.0257","9.0386","8.9726","-0.36%"
"Oct 05, 2018","9.0290","9.0222","9.0484","8.9961","0.08%"
"Oct 04, 2018","9.0219","8.9953","9.0429","8.9847","0.29%"
"Oct 03, 2018","8.9962","9.0459","9.0886","8.9868","-0.55%"
"Oct 02, 2018","9.0459","9.0639","9.0716","9.0166","-0.18%"
"Oct 01, 2018","9.0623","9.0876","9.1041","9.0494","-0.28%"
"Sep 28, 2018","9.0876","9.0973","9.1199","9.0517","-0.12%"
"Sep 27, 2018","9.0984","9.1717","9.1857","9.0948","-0.80%"
"Sep 26, 2018","9.1714","9.1898","9.2159","9.1579","-0.25%"
"Sep 25, 2018","9.1944","9.1760","9.2101","9.1625","0.17%"
"Sep 24, 2018","9.1785","9.1767","9.2257","9.1562","0.03%"
"Sep 21, 2018","9.1759","9.2354","9.2424","9.1562","-0.65%"
"Sep 20, 2018","9.2357","9.1565","9.2437","9.1522","0.85%"
"Sep 19, 2018","9.1578","9.1500","9.1911","9.1363","0.07%"
"Sep 18, 2018","9.1515","9.1653","9.1985","9.1385","-0.15%"
"Sep 17, 2018","9.1649","9.1197","9.1774","9.1149","0.43%"
"Sep 14, 2018","9.1254","9.1749","9.2015","9.1167","-0.54%"
"Sep 13, 2018","9.1745","9.1251","9.1854","9.1110","0.54%"
"Sep 12, 2018","9.1248","9.1103","9.1446","9.0811","0.16%"
"Sep 11, 2018","9.1105","9.1014","9.1413","9.0778","0.10%"
"Sep 10, 2018","9.1010","9.0742","9.1191","9.0473","0.35%"
"Sep 07, 2018","9.0690","9.1236","9.1461","9.0666","-0.59%"
"Sep 06, 2018","9.1226","9.1287","9.1520","9.1083","-0.07%"
"Sep 05, 2018","9.1287","9.0906","9.1371","9.0599","0.41%"
