"Date","Price","Open","High","Low","Change %"
"Mar 08, 2020","104.41","104.22","104.58","104.15","-0.85%"
"Mar 06, 2020","105.31","106.17","106.36","105.00","-0.81%"
"Mar 05, 2020","106.17","107.53","107.73","105.97","-1.26%"
"Mar 04, 2020","107.53","107.14","107.69","106.86","0.36%"
"Mar 03, 2020","107.14","108.31","108.55","106.94","-1.08%"
"Mar 02, 2020","108.31","107.39","108.58","106.98","0.21%"
"Feb 28, 2020","108.08","109.61","109.69","107.50","-1.38%"
"Feb 27, 2020","109.59","110.42","110.47","109.58","-0.75%"
"Feb 26, 2020","110.42","110.19","110.70","110.12","0.20%"
"Feb 25, 2020","110.20","110.73","111.05","109.89","-0.47%"
"Feb 24, 2020","110.72","111.61","111.69","110.33","-0.77%"
"Feb 21, 2020","111.58","112.11","112.19","111.47","-0.48%"
"Feb 20, 2020","112.12","111.38","112.22","111.11","0.68%"
"Feb 19, 2020","111.36","109.88","111.59","109.84","1.35%"
"Feb 18, 2020","109.88","109.88","109.95","109.66","-0.01%"
"Feb 17, 2020","109.89","109.78","109.97","109.72","0.13%"
"Feb 14, 2020","109.75","109.81","109.92","109.69","-0.05%"
"Feb 13, 2020","109.81","110.09","110.09","109.61","-0.25%"
"Feb 12, 2020","110.08","109.78","110.14","109.77","0.27%"
"Feb 11, 2020","109.78","109.78","109.97","109.72","0.03%"
"Feb 10, 2020","109.75","109.86","109.89","109.56","0.02%"
"Feb 07, 2020","109.73","110.00","110.03","109.53","-0.25%"
"Feb 06, 2020","110.00","109.81","110.00","109.72","0.17%"
"Feb 05, 2020","109.81","109.53","109.86","109.31","0.26%"
"Feb 04, 2020","109.53","108.69","109.56","108.56","0.77%"
"Feb 03, 2020","108.69","108.42","108.81","108.33","0.28%"
"Jan 31, 2020","108.39","108.97","109.14","108.31","-0.53%"
"Jan 30, 2020","108.97","109.02","109.08","108.58","-0.03%"
"Jan 29, 2020","109.00","109.16","109.28","108.97","-0.13%"
"Jan 28, 2020","109.14","108.89","109.20","108.75","0.23%"
"Jan 27, 2020","108.89","109.05","109.14","108.72","-0.36%"
"Jan 24, 2020","109.28","109.48","109.66","109.17","-0.19%"
"Jan 23, 2020","109.49","109.84","109.87","109.26","-0.32%"
"Jan 22, 2020","109.84","109.86","110.10","109.82","-0.04%"
"Jan 21, 2020","109.88","110.19","110.22","109.77","-0.28%"
"Jan 20, 2020","110.19","110.14","110.22","110.03","0.03%"
"Jan 17, 2020","110.16","110.14","110.30","110.05","0.00%"
"Jan 16, 2020","110.16","109.89","110.19","109.86","0.25%"
"Jan 15, 2020","109.89","110.00","110.03","109.78","-0.08%"
"Jan 14, 2020","109.98","109.94","110.22","109.86","0.04%"
"Jan 13, 2020","109.94","109.49","109.95","109.45","0.43%"
"Jan 10, 2020","109.47","109.52","109.70","109.44","-0.05%"
"Jan 09, 2020","109.52","109.12","109.58","109.01","0.35%"
"Jan 08, 2020","109.14","108.42","109.25","107.64","0.65%"
"Jan 07, 2020","108.44","108.38","108.64","108.27","0.06%"
"Jan 06, 2020","108.38","108.00","108.52","107.77","0.27%"
"Jan 03, 2020","108.09","108.56","108.64","107.83","-0.45%"
"Jan 02, 2020","108.58","108.75","108.86","108.20","-0.11%"
"Jan 01, 2020","108.70","108.61","108.75","108.59","0.07%"
"Dec 31, 2019","108.62","108.89","108.89","108.47","-0.24%"
"Dec 30, 2019","108.88","109.47","109.52","108.75","-0.49%"
"Dec 27, 2019","109.42","109.61","109.64","109.39","-0.20%"
"Dec 26, 2019","109.64","109.34","109.69","109.32","0.26%"
"Dec 25, 2019","109.36","109.39","109.42","109.27","-0.03%"
"Dec 24, 2019","109.39","109.39","109.44","109.31","0.00%"
"Dec 23, 2019","109.39","109.41","109.53","109.33","-0.05%"
"Dec 20, 2019","109.44","109.36","109.53","109.25","0.05%"
"Dec 19, 2019","109.38","109.55","109.67","109.17","-0.14%"
"Dec 18, 2019","109.53","109.50","109.62","109.39","0.05%"
"Dec 17, 2019","109.48","109.53","109.64","109.44","-0.02%"
"Dec 16, 2019","109.50","109.39","109.69","109.25","0.11%"
"Dec 13, 2019","109.38","109.31","109.72","108.92","0.06%"
"Dec 12, 2019","109.31","108.57","109.46","108.46","0.69%"
"Dec 11, 2019","108.56","108.72","108.86","108.47","-0.14%"
"Dec 10, 2019","108.71","108.56","108.77","108.51","0.14%"
"Dec 09, 2019","108.56","108.68","108.68","108.42","-0.05%"
"Dec 06, 2019","108.61","108.77","108.92","108.53","-0.14%"
"Dec 05, 2019","108.76","108.86","109.00","108.65","-0.09%"
"Dec 04, 2019","108.86","108.64","108.97","108.42","0.20%"
"Dec 03, 2019","108.64","108.97","109.22","108.48","-0.33%"
"Dec 02, 2019","109.00","109.53","109.73","108.92","-0.47%"
"Nov 29, 2019","109.52","109.50","109.67","109.39","0.00%"
